"Source:","/home/baobrien/cartboard/cartboard.sch"
"Date:","Sun 11 Sep 2016 09:57:58 PM CDT"
"Tool:","Eeschema 4.0.2+dfsg1-stable"
"Generator:","/home/baobrien/kicad_sources/kicad.bzr/scripts/bom-in-python/bom_csv_grouped_by_value.py"
"Component Count:","54"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Part","part"
"","","C1",".1u","device:C","Capacitors_SMD:C_0603_HandSoldering","","",""
"","","C2",".1u","device:C","Capacitors_SMD:C_0603_HandSoldering","","",""
"","","C3",".1u","device:C","Capacitors_SMD:C_0603_HandSoldering","","",""
"","","C101",".1u","device:C","Capacitors_SMD:C_0603_HandSoldering","","",""
"","","C102",".1u","device:C","Capacitors_SMD:C_0603_HandSoldering","","",""
"","","C301",".1u","device:C","Capacitors_SMD:C_0603_HandSoldering","","",""
"","","C302",".1u","device:C","Capacitors_SMD:C_0603_HandSoldering","","",""
"","","C303","1u","device:C","Capacitors_SMD:C_0603_HandSoldering","","",""
"","","C304",".1u","device:C","Capacitors_SMD:C_0603_HandSoldering","","",""
"","","C401","47u","device:CP1","cartboard:CAP_UCD1H470MCL6GS","","","UCD1H470MCL6GS"
"","","C402","47u","device:CP1","cartboard:CAP_UCD1H470MCL6GS","","","UCD1H470MCL6GS"
"","","C403",".1u","device:C","Capacitors_SMD:C_0603_HandSoldering","","",""
"","","C404",".1u","device:C","Capacitors_SMD:C_0603_HandSoldering","","",""
"","","C405","47u","device:CP1","cartboard:CAP_UCD1H470MCL6GS","","","UCD1H470MCL6GS"
"","","C501",".1u","device:C","Capacitors_SMD:C_0603_HandSoldering","","",""
"","","C502",".1u","device:C","Capacitors_SMD:C_0603_HandSoldering","","",""
"","","C503",".1u","device:C","Capacitors_SMD:C_0603_HandSoldering","","",""
"","","D1","LED","device:LED","LEDs:LED_0805","","APT2012SGC",""
"","","D101","LED","device:LED","LEDs:LED_0805","","APT2012SGC",""
"","","D102","LED","device:LED","LEDs:LED_0805","","APT2012SGC",""
"","","D103","LED","device:LED","LEDs:LED_0805","","APT2012SGC",""
"","","D401","MBRS340T3G","device:D_Schottky","Diodes_SMD:SMC_Standard","","MBRS340T3G",""
"","","D501","MBRS340T3G","device:D_Schottky","Diodes_SMD:SMC_Standard","","",""
